Time	Pitot	Thrust	AX	AY	AZ
21125	9.00	8.00	-8.75	-1.96	-2.64
21154	14.00	12.00	-8.75	-1.90	-2.62
21185	14.00	13.00	-8.75	-1.93	-2.65
21215	16.00	15.00	-8.67	-1.93	-2.67
21264	8.00	7.00	-8.76	-1.92	-2.61
21475	59.00	55.00	-8.71	-1.96	-2.65
21505	56.00	55.00	-8.73	-1.96	-2.75
21535	52.00	51.00	-8.73	-1.89	-2.69
21605	22.00	21.00	-8.71	-1.91	-2.68
21635	22.00	21.00	-8.77	-1.93	-2.74
21665	23.00	22.00	-8.72	-1.91	-2.72
21734	5.00	4.00	-8.74	-1.94	-2.59
21765	7.00	6.00	-8.72	-1.93	-2.69
21824	4.00	3.00	-8.76	-1.96	-2.56
21855	10.00	9.00	-8.78	-2.03	-2.71
21905	7.00	6.00	-8.74	-1.96	-2.70
21936	11.00	10.00	-8.77	-1.95	-2.70
21975	11.00	10.00	-8.68	-1.93	-2.74
22034	2.00	1.00	-8.75	-2.01	-2.65
22065	7.00	6.00	-8.74	-1.93	-2.66
22114	3.00	2.00	-8.77	-1.99	-2.70
22145	8.00	7.00	-8.72	-1.96	-2.59
22205	5.00	4.00	-8.72	-1.99	-2.67
22236	9.00	8.00	-8.74	-1.92	-2.70
22334	0.00	0.00	-8.75	-1.95	-2.67
22365	5.00	4.00	-8.74	-1.96	-2.59
22394	14.00	11.00	-8.72	-1.88	-2.64
22425	19.00	18.00	-8.72	-1.95	-2.72
22505	3.00	2.00	-8.75	-1.95	-2.69
22535	7.00	6.00	-8.74	-1.91	-2.66
22565	9.00	9.00	-8.70	-1.95	-2.67
22634	1.00	1.00	-8.74	-1.94	-2.62
22714	0.00	0.00	-8.76	-1.96	-2.64
22755	6.00	5.00	-8.72	-1.93	-2.65
22785	9.00	8.00	-8.76	-1.91	-2.70
22815	11.00	10.00	-8.73	-1.98	-2.64
22884	1.00	1.00	-8.76	-1.94	-2.67
22915	6.00	5.00	-8.85	-1.92	-2.66
22944	9.00	9.00	-8.73	-1.97	-2.72
22975	16.00	15.00	-8.76	-1.96	-2.68
23014	13.00	12.00	-8.73	-1.96	-2.74
23045	16.00	15.00	-8.74	-1.90	-2.62
23075	22.00	21.00	-8.78	-1.98	-2.67
23144	1.00	1.00	-8.73	-1.90	-2.68
23175	10.00	9.00	-8.70	-1.97	-2.65
23204	15.00	14.00	-8.78	-1.90	-2.62
23274	2.00	1.00	-8.71	-1.96	-2.70
23354	3.00	2.00	-8.69	-1.92	-2.63
23395	0.00	0.00	-8.75	-1.93	-2.66
23425	9.00	8.00	-8.76	-1.88	-2.62
23455	15.00	13.00	-8.70	-1.90	-2.66
23524	2.00	2.00	-8.70	-1.90	-2.58
23555	9.00	8.00	-8.88	-1.98	-2.63
23584	12.00	11.00	-8.73	-1.95	-2.63
23654	3.00	2.00	-8.63	-1.89	-2.72
23686	10.00	9.00	-8.73	-1.98	-2.63
23744	0.00	0.00	-8.71	-1.97	-2.66
23785	5.00	4.00	-8.74	-1.95	-2.62
23815	8.00	7.00	-8.72	-1.94	-2.68
